#GENE SYNS
CHORDC1	CHP1,CHP-1
NAALAD2	GCPIII,NAALADASE2
SP5	.
SP6	Epfn,KLF14
UBTFL1	C11orf27
SPAG11B	EDDM2B,EP2,EP2C,EP2D,HE2
KLF15	KKLF
NPC2	EDDM1,HE1,NP-C2
RNF213	MYMY2,ALO17,KIAA1554,NET57,ALO17,KIAA1554,NET57,ALO17,KIAA1554,NET57
WNK1	PRKWNK1,HSAN2,PPP1R167,HSAN2,PPP1R167
WNK2	SDCCAG43,KIAA1760,NY-CO-43,KIAA1760,NY-CO-43
WNK3	PRKWNK3
WNK4	PRKWNK4
RASGRP3	CalDAG-GEFIII,GRP3,KIAA0846
CALR	cC1qR,CRT,FLJ26680,RO,SSA
CDHR1	PCDH21,CORD15,KIAA1775,RP65
IKBKE	IKKE,IKK-i,KIAA0151
LRP10	DKFZP564C1940,LRP9,MGC8675,MST087,MSTP087
CLEC4D	CLECSF8,CD368,Dectin-3,MCL,Mpcl
CLEC4E	CLECSF9,mincle
CLEC6A	CLECSF10,dectin-2
CLEC7A	CLECSF12,CD369,dectin-1,hDectin-1,SCARE2
STOML2	HSPC108,SLP-2
STOML1	FLJ36370,hUNC-24,SLP-1,STORP
ARHGEF9	KIAA0424,PEM-2
BET1	hbet1
SORBS1	SH3D5,CAP,FLJ12406,KIAA1296,ponsin,sh3p12
KIF13A	bA500C11.2
STK33	.
JPT1	HN1,ARM2,HN1A
RHBG	SLC42A2
ENTPD4	LYSAL1,KIAA0392,LALP70,LAP70,NTPDase-4,UDPase
MCF2L	ARHGEF14,DBS,KIAA0362,OST
VPS45	VPS45B,H1,h-vps45,H1,h-vps45
CALU	.
ARHGEF11	GTRAP48,KIAA0380,PDZ-RHOGEF
PINK1	PARK6
LAMP3	CD208,DCLAMP,DC-LAMP,LAMP,TSC403
VPS11	PEP5,RNF108
VPS16	.
CAMK1G	CLICKIII,dJ272L16.1,VWS1
ING3	Eaf4,FLJ20089,MEAF4,p47ING3
CAMK1	CaMKI
NET1	ARHGEF8,NET1A
MTMR9	MTMR8,DKFZp434K171,LIP-STYX,DKFZp434K171,LIP-STYX
IMMP2L	IMMP2L-IT1,IMP2
TINAG	.
CAMK2A	CAMKA,CaMKIINalpha,KIAA0968
RGS20	RGSZ1,ZGAP1
ECI2	PECI,ACBD2,DRS1,HCA88
DMTF1	DMP1,DMTF,hDMP1,MRUL
AMN	amnionless
ADAMTS12	.
TINCR	PLAC2,FLJ90734,LINC00036,NCRNA00036,onco-lncRNA-16
CAMK2B	CAMKB,CAM2,CAMK2
PAPPA2	PLAC3,PAPP-A2,PAPPE
XAGE3	PLAC6,CT12.3a,CT12.3b,pp9012,XAGE-3,CT12.3a,CT12.3b,pp9012,XAGE-3
CAMK2D	CAMKD
TES	DKFZP586B2022,TESS-2,TESTIN
NUF2	CDCA1,CT106,NUF2R
CDCA2	PPP1R81,Repo-Man
CDCA3	GRCC8,TOME-1
CDCA4	FLJ20764,Hepp
CDCA5	.
CDCA7	FLJ14736,JPO1
CDCA8	BOR,DasraB,FLJ12042,MESRGP
CAMK2G	CAMKG
CRELD1	AVSD2
ADAMTSL2	KIAA0605
ADAMTSL1	C9orf94,ADAMTSR1,FLJ35283
ADAMTSL3	KIAA1233,punctin-2
PDAP1	HASPP28,PAP,PAP1
ABCA12	ICR2B,DKFZP434G232,LI2
ABCA13	FLJ33876,FLJ33951
ABCC11	MRP8
CAMK4	CaMK-GR
ABCC12	MRP9
NETO2	FLJ10430,NEOT2
IPPK	C9orf12,FLJ13163,INSP5K2,IP5K,IPK1
RNF26	MGC2642
LETM2	FLJ25409,SLC55A2
PPIG	CARS-Cyp,SCAF10,SRCyp
PPIH	CYP-20,CYPH,MGC5016,SnuCyp-20,USA-CYP
PARVA	MXRA2,FLJ10793,FLJ12254
PARVB	CGI-56
PARVG	.
DSCAML1	KIAA1132
EGLN2	HIFPH1,PHD1
EGLN3	HIFPH3,PHD3
RNF25	AO7,FLJ13906
TRIM64	C11orf28,TRIM64A
RTL1	36951,HUR1,MART1,PEG11,SIRH2
RXFP4	RLN3R2,GPCR142,RXFPR4,GPCR142,RXFPR4
MMEL1	MMEL2,NEPII,NL1,NL2,SEP
DCD	AIDD,DCD-1,DSEP,HCAP,PIF
COL20A1	KIAA1510
ACTR5	Arp5,FLJ12785,INO80M
ACTR8	INO80N
FYCO1	FLJ13335,ZFYVE7
PCDH15	DFNB23,USH1F,CDHR15,CDHR15
IRX6	IRX7,IRX-3
LRRC2	.
DEAF1	NUDR,SPN,ZMYND5
KCTD12	C13orf2,KIAA1778,PFET1
SLC38A4	ATA3,NAT3,PAAT
HDGFL2	Hdgfrp2,HRP2
SPATA2	KIAA0757,PD1,PPP1R145,tamo
SPATA1	SP-2
POFUT2	C21orf80,FUT13,KIAA0958
F11R	JAM1,CD321,JAM-1,JAMA,JAM-A,JCAM,PAM-1
JAM2	C21orf43,CD322,JAMB,JAM-B,VE-JAM
LYVE1	XLKD1,LYVE-1
CAMKK1	CAMKKA,DKFZp761M0423,MGC34095
OR10K1	.
OR13D1	.
OR4C3	.
CAMKK2	CAMKK,CAMKKB,KIAA0787,MGC15254
OR13C2	.
OR4C5	OR4C5P,OR4C5Q
OR51B2	OR51B1P
OR13C3	.
OR4S1	.
OR6J1	OR6J1P,OR6J2
OR51B4	.
CAMLG	CAML,GET2
OR6M1	.
OR11H2	OR11H2P,OR11H8P
OR9I1	.
CAMP	CAP18,FALL39,FALL-39,LL37
OR13C4	.
OR13F1	.
OR9Q1	.
OR2T2	OR2T2P
OR4K1	.
OR2T3	.
OR4K2	.
OR2A4	OR2A10
CANX	CNX,IP90,P90
OR4K3	OR4K3P
OR4M1	.
OR6X1	.
OR51G1	OR51G3P
CAPG	AFCP,MCP
OR4N2	.
OR4C6	.
OR4K5	.
OR5H2	.
OR13H1	.
OR10AC1	OR10AC1P
OR51L1	.
CAPN1	CANP,CANPL1,muCANP,muCL
OR51A2	.
OR52E1	OR52E1P
OR5H6	.
OR52E2	.
CAPN10	.
OR13A1	.
OR5H8	OR5H8P
OR5K2	.
CAPN11	.
OR56A1	.
OR5P2	JCG3
OR5P3	JCG1
OR52L1	.
OR56A3	OR56A3P,OR56A6
CAPN2	CANPL2,CANPml,mCANP
OR56A4	.
OR56A5	OR56A5P
OR51A4	.
OR52J3	.
CAPN3	LGMD2A,CANP3,nCL-1,p94,CANP3,nCL-1,p94
OR5M3	.
OR10S1	.
OR10G4	.
CAPNS1	CAPN4,30K,CANP,CANPS,CDPS
OR10T2	.
OR10AD1	OR10AD1P
CAPN5	VRNI,ADNIV,HTRA3,nCL-3
OR10R2	OR10R2Q
OR5T1	OR5T1P
OR6Y1	OR6Y2
OR8H1	.
OR4F5	.
OR10K2	.
CAPN6	CalpM,CANPX,CAPNX
OR8K1	.
OR51H1	OR51H1P
OR10G6	OR10G6P,OR10G6Q
OR2Y1	.
CAPN7	PalBH
OR8D4	.
OR5R1	OR5R1P
OR10G7	.
OR5AL1	OR5AL1P
OR10G8	.
OR5M8	.
OR51M1	.
OR6T1	.
CAPN8	nCL-2
OR51Q1	.
OR4D5	.
OR52N1	.
OR4X1	.
OR8J1	.
OR51J1	OR51J1P,OR51J2
COG5	GOLTC1,GTC90
UCK1	FLJ12255,URK1
CAPN9	GC36,nCL-4
UBXN4	UBXD2,UBXDC1,KIAA0242,KIAA0242
POLR2M	GRINL1A,GCOM1,Gdown,Gdown1
COL5A3	.
ESX1	ESX1L,ESXR1
HHIP	FLJ20992,HIP
APOL4	APOLIV
APOL3	APOLIII,CG12-1
APOL5	APOLV
CAPS	CAPS1,MGC126562
APOL6	APOLVI,APOL-VI
PPP1R14A	PPP1INL,CPI-17
ASPN	FLJ20129,PLAP-1,SLRR1C
RAI14	DKFZp564G013,KIAA1334,NORPEG,RAI13
NOX5	NOX5A,NOX5B
FCRL2	SPAP1,CD307b,FCRH2,IRTA4
BIRC8	hILP2,ILP-2,RNF136
INTS6	DDX26,DBI-1,DDX26A,DICE1,HDB,INT6,Notchl2
CAPZA1	.
GTPBP3	FLJ14700,GTPBG3,MSS1,MTGP1,THDF1
ZEB2	ZFHX1B,KIAA0569,SIP1,SIP-1
CRTAC1	ASPIC1,CEP-68,FLJ10320
DNAJA2	CPR3,DNAJ,DNJ3,HIRIP4
DNAJA4	PRO1472
DNAJB4	HLJ1
DNAJB5	Hsc40
DNAJB6	LGMD1D,MRJ
DNAJB11	EDJ,ERdj3,HEDJ
THUMPD2	C2orf8,MGC2454
DNAJB12	DJ10,FLJ20027
DPP7	DPP2,DPPII
ULBP1	RAET1I
ULBP2	RAET1H
ULBP3	RAET1N
SPTBN4	KIAA1642,SPTBN3
ITPKC	IP3-3KC,IP3KC
ADAMTS14	.
CAPZA2	CAPPA2,CAPZ
IL22	IL-21,IL-22,IL-D110,ILTIF,IL-TIF,MGC79382,MGC79384,TIFa,TIFIL-23,zcyto18
IL22RA2	CRF2-S1,IL-22BP
RAB6B	.
SULT4A1	hBR-STL-1,SULTX3
TAS1R2	GPR71,T1R2,TR2
NIN	.
MSGN1	pMesogenin1
TMPRSS5	MGC141886,MGC148044
TAS2R1	T2R1,TRB7
CAPZB	.
TAS2R3	T2R3
TAS2R4	T2R4
TAS2R5	T2R5
TAS2R7	T2R7,TRB4
CA13	CAXIII,FLJ37995,MGC59868
TAS2R8	T2R8,TRB5
TAS2R9	T2R9,TRB6
TAS2R10	T2R10,TRB2
TAS2R13	T2R13,TRB3
SHPK	CARKL,SHK
TAS2R14	T2R14,TRB1
TAS2R16	T2R16
HRASLS	HRASLS1,H-REV107
GPR37L1	ETBR-LP-2
TSGA10	CEP4L,CT79
UBXN6	UBXD1,UBXDC2
SIRT1	SIR2L1
CARS	CARS1
SIRT3	SIR2L3
SIRT4	SIR2L4
SIRT5	.
SIRT6	.
SIRT7	.
PIGS	.
PIGT	.
ALX1	CART1
PPP1R1C	Inhibitor-1-like
PPP1R16A	MGC14333,MYPT3
PPP1R3B	FLJ14005,GL,PPP1R4
PPP1R3E	FLJ00089
PPP1R3F	Hb2E
PPP1R3G	.
PPP1R9A	FLJ20068,KIAA1222,Neurabin-I
PPP1R12C	LENG3,AAVS1,DKFZP434D0412,MBS85,p84,p85
RCC1L	WBSCR16
PPP1R13B	ASPP1,KIAA0771,p53BP2-like,p85
PPP1R15B	FLJ14744
PPP1R14C	CPI17-like,KEPI,NY-BR-81
PPP1R14D	CPI17-like,FLJ20251,GBPI-1,MGC119014,MGC119016
MYNN	SBBIZ1,ZBTB31,ZNF902
MUC15	.
PUM1	KIAA0099,PUMH1
PUM2	KIAA0235,PUMH2
RBM15	OTT,OTT1
SYT13	KIAA1427
GPR101	.
TAAR8	TRAR5,TA5,TAR5,TA5,TAR5
LRRC3	C21orf102
PXDN	D2S448,D2S448E,KIAA0230,MG50,PRG2,PXN
SPACA1	SAMP32
TSSK1B	TSSK1,FKSG81,SPOGA4,FKSG81,SPOGA4
SNX5	.
CASK	TNRC8,CAGH39,FGS4,LIN2
SNX6	.
SNX7	.
SNX8	Mvp1
SNX9	SDP1,SH3PX1,SH3PXD3A
SNX10	.
SNX11	.
SNX12	.
SNX14	RGS-PX2
SNX15	.
SNX17	KIAA0064
SNX16	.
PAPOLA	PAP
PAPOLG	FLJ12972
ZFP91	PZF,ZNF757
LUZP1	LUZP
SNAP91	AP180,CALM,KIAA0656
ASAP3	DDEFL1,CENTB6,FLJ20199,UPLC1
POFUT1	FUT12,KIAA0180,O-Fuc-T,O-FUT
CASP1	IL1BC,ICE
OR10J3	OR10J3P
OR10J5	.
OR10X1	OR10X1P
OR10Z1	.
OR11L1	.
OR13G1	.
CASP10	MCH4
OR2AJ1	OR2AJ1P,OR2AJ1Q
OR2C3	OR2C4,OR2C5P,OST742,OST742
OR2G2	.
OR2G3	.
OR2L3	.
OR2L5	OR2L11,OR2L5P
OR2L8	.
OR2T4	OR2T4Q
OR2T5	.
OR2T6	OR2T6P,OR2T9,OST703,OST703
OR2T7	OR2T7P,OST723
CASP14	MGC119078,MGC119079,MICE
OR2T8	OR2T8P
OR2W3	OR2W3P,OR2W8P,OST718,OST718
OR14A16	OR5AT1
OR14A2	OR5AX1,OR5AX1P
OR14K1	OR5AY1
OR14C36	OR5BF1
OR6F1	OST731
OR6K2	.
CASP2	NEDD2,ICH1,MGC2181,PPP1R57
OR6K3	.
OR6K6	.
OR6N1	.
OR6N2	.
OR6P1	.
CASP3	apopain,CPP32,CPP32B,Yama
OR6B2	OR6B2P
OR6B3	OR6B3P,OR6B3Q
OR5AC1	OR5AC1P
CASP4	ICE(rel)II,ICH-2,TX
CASP5	ICE(rel)III
CASP6	MCH2
OR4F15	.
OR4F16	.
CASP7	CMH-1,ICE-LAP3,MCH3
OR2A12	OR2A12P
OR2A14	OR2A14P,OR2A6,OST182,OST182
OR2AE1	OR2AE2
CASP8	Casp-8,FLICE,MACH,MCH5
OR6V1	GPR138
OR9A2	.
OR9A4	.
CASP8AP2	CED-4,FLASH,FLJ11208,KIAA1315,RIP25
OR13C5	.
OR13C7	OR13C7P,OST706
OR13C8	.
OR13C9	.
OR13J1	.
CASP9	APAF-3,ICE-LAP6,MCH6,PPP1R56
OR1L8	.
OR1N2	.
CASQ1	CASQ,PDIB1
OR10G9	OR10G10P
CASQ2	PDIB2
OR10A4	OR10A4P
OR10A5	OR10A1,JCG6,OR11-403
OR10A6	.
OR10Q1	.
OR10V1	.
OR10W1	OR10W1P
CASR	HHC1,FHH,GPRC2A,NSHPT,FHH,GPRC2A,NSHPT
OR1S2	.
OR2AG1	OR2AG3
OR2AG2	OR2AG2P
OR2D3	.
CAST	.
OR4A15	.
OR4A16	OR4A16Q
CAT	.
OR4A5	.
OR4A8	OR4A8P
OR4C11	OR4C11P
OR4C12	.
OR4C13	.
OR4C15	.
OR4C16	.
OR4D10	OR4D10P,OST711
OR4D11	OR4D11P
OR4D6	.
OR4D9	.
OR4P4	OR4P3P
OR4S2	OR4S2P,OST725
OR4X2	.
OR51A7	.
OR51D1	OR51D1Q
OR51E1	OR51E1P,OR52A3P,GPR136,GPR136,GPR136
OR51E2	PSGR
OR51F1	OR51F1P
OR51F2	.
OR51G2	.
OR51I1	.
OR51I2	.
OR51S1	.
OR51T1	.
OR52B2	.
OR52B4	.
OR52B6	.
OR52D1	.
OR52E4	.
OR52E5	.
OR52E6	.
OR52E8	.
OR52H1	.
OR52I1	.
OR52I2	.
OR52K1	.
OR52K2	.
OR52M1	OR52M1P
OR52N2	.
OR52N4	.
OR52N5	OR52N5Q
OR52R1	.
OR52W1	OR52W1P
OR56B1	OR56B1P
OR56B4	.
OR5A2	.
OR5AK2	.
OR5AN1	.
OR5AP2	.
OR5AR1	.
OR5AS1	.
OR5B17	OR5B20P
CAV1	CAV
CAV2	CAV
OR5D13	.
OR5D14	.
OR5D16	.
OR5D18	.
OR5G3	OR5G3P,OR5G6P
CAV3	LGMD1C,LQT9,VIP21,VIP-21
OR5M10	.
OR5M11	OR11-199
OR5M9	.
OR5T2	.
OR5T3	OR5T3Q
OR5W2	OR5W2P,OR5W3P
MICU1	CBARA1,CALC,EFHA3,FLJ12684
OR6A2	OR6A1,OR6A2P,OR11-55,OR11-55
OR6Q1	.
OR8B12	.
OR8H2	.
OR8H3	.
OR8I2	.
OR8J2	OR8J2P
OR8J3	.
OR8K3	.
OR8K5	.
OR9G1	OR9G5
OR9G4	.
OR9Q2	OR9Q2P
OR10A7	.
OR2AP1	OR2AP1P
OR9K2	.
OR2V2	OR2V3,OST713
OR11G2	.
OR11H4	.
OR11H6	.
RUNX1T1	CBFA2T1,CDR,ETO,MTG8,ZMYND2,CDR,ETO,MTG8,ZMYND2
OR11H7	OR11H7P
OR4K13	.
OR4K14	.
OR4K15	OR4K15Q
OR4K17	.
OR4L1	OR4L2P
OR4N5	.
OR4Q2	OR4Q2P
CBFA2T2	MTGR1,ZMYND3
OR5AU1	.
OR6S1	OR6S1Q
CBFA2T3	ETO2,MTG16,MTGR2,RUNX1T3,ZMYND4
OR4F6	OR4F12
OR4M2	.
OR4N4	.
OR10P1	OR10P2P,OR10P3P,OST701,OST701,OST701
OR4F17	OR4F18,OR4F19
OR10H4	.
OR10H5	.
CBFB	PEBP2B
OR2Z1	OR2Z2
SERPINA6	CBG
OR11H1	OR22-1
OR10J4	OR10J4P,OST717
CBL	CBL2,c-Cbl,RNF55
CBLB	Cbl-b,RNF56
OR4Q3	OR4Q4,C14orf13
CBLN1	.
OR5AC2	HSA1
OR5B12	OR5B12P,OR5B16,OST743,OST743
OR6C2	OR6C67
OR6C3	OST709
CBLN2	.
PRPF31	RP11,hPrp31,NY-BR-99,PRP31,SNRNP61
TLN2	ILWEQ,KIAA0320
GOLIM4	GOLPH4,GIMPC,GPP130,P138
LGALS13	PLAC8,PP13
TGOLN2	TGN38,TGN46,TGN48,TGN51,TTGN2
GOLM1	GOLPH2,bA379P1.3,FLJ23608,GP73,bA379P1.3,FLJ23608,GP73
GOLPH3	GOPP1,GPP34,MIDAS,Vps74
ACBD3	GOLPH1,GCP60,PAP7,GCP60,PAP7
SHOC2	KIAA0862,SOC2,SOC-2,SUR8,SUR-8
MBTPS2	KFSD,S2P
MBTPS1	KIAA0091,PCSK8,S1P,SKI-1
P2RX2	DFNA41,P2X2
SERPINH1	SERPINH2,colligen,HSP47,colligen,HSP47,colligen,HSP47
CACNA2D3	HSA272268
MANF	ARMET,ARP
ZNF330	HSA6591,NOA36
PTDSS2	PSS2
SPINK5	DKFZp686K19184,FLJ21544,FLJ97536,FLJ97596,FLJ99794,LEKTI,LETKI,NETS,NS,VAKTI
GPHN	KIAA1385
WFDC1	PS20
DYNLRB2	DNCL2B,DNLC2B,ROBLD2
DYNLRB1	DNCL2A,DNLC2A,ROBLD1
DNAJC6	KIAA0473,PARK19
DNAJC8	SPF31
ALDH8A1	ALDH12
ALDH1A2	RALDH2
TSSK3	STK22C,SPOGA3
SHANK1	SPANK-1,SSTRIP,synamon
PRSS27	CAPH2,MPN
DYNLL1	DNCL1,DLC1,DLC8,hdlc1,LC8,PIN
ADAM33	C20orf153,dJ964F7.1,DKFZp434K0521
ADAM32	.
CBR1	CBR,SDR21C1
DIAPH3	AUNA1,AN,DRF3,FLJ34705,NSDAN
SIGLEC12	SIGLECL1,S2V,Siglec-12,Siglec-L1,Siglec-XII,SLG
CDKL3	NKIAMRE
SNAPC5	SNAP19
NCKIPSD	AF3P21,DIP1,ORF1,SPIN90,WASLBP,WISH
TMX1	TXNDC1,PDIA11,TMX,PDIA11,TMX
IL23A	IL-23,IL-23A,IL23P19,P19,SGRF
ZNF331	RITA,ZNF361,ZNF463
CBR3	SDR21C2
ANKH	CMDJ,ANK,CPPDD,HANK,SLC62A1,ANK,CPPDD,HANK,SLC62A1
C1orf21	PIG13
LILRA6	LILRB6,CD85b,ILT8
CBS	HIP4
LENG8	KIAA1932,MGC40108,pp13842
LENG1	.
LILRA4	CD85g,ILT7
BTBD2	.
MBOAT7	LENG4,BB1,hMBOA-7,LPLAT
TSEN34	LENG5,SEN34,SEN34L
PUS1	.
CBX1	CBX,HP1-BETA,HP1Hs-beta,M31,MOD1
VANGL2	KIAA1215,LPP1,LTAP,MGC119403,MGC119404,STB1,STBM,STBM1
VANGL1	STB2
SMYD3	ZMYND1,ZNFN3A1,KMT3E,KMT3E
PICALM	CALM,CLTH
ARHGEF16	GEF16,NBR
XYLT1	PXYLT1,XT-I
XYLT2	PXYLT2,XT-II
DCTN4	.
BOP1	KIAA0124
CBX2	CDCA6,MGC10561
LPAR6	P2RY5,P2Y5
KCNIP1	KCHIP1
KCNIP2	KCHIP2
KCNIP3	CSEN,DREAM,KCHIP3
P2RY8	P2Y8
LBX2	.
KLB	.
CGRRF1	CGR19,RNF197
NLGN4Y	KIAA0951
CBX3	HP1Hs-gamma
TULP4	KIAA1397,TUSP
EBNA1BP2	EBP2,NOBP,P40
JAM3	JAMC,JAM-C
SPRY4	.
TEKT1	.
CBX4	hPC2,NBP16,PC2
SLC35G5	AMAC,AMAC1L2
FAM167A	C8orf13
CBX5	HP1,HP1-ALPHA,HP1Hs-alpha
ARID4B	RBP1L1,BCAA,BRCAA1,SAP180
IL1F10	FKSG75,IL-1F10,IL-1HY2,IL1-theta,MGC11983,MGC119832,MGC119833
CCT8L2	CESK1
C22orf15	FLJ36561,N27C7-3
CHCHD10	C22orf16,MIX17A,N27C7-4
CBX6	.
IL36RN	IL1F5,FIL1,FIL1(DELTA),FIL1D,IL-1F5,IL1HY1,IL1L1,IL1RP3,IL36RA,MGC29840
IL36A	IL1F6,FIL1,FIL1E,IL1(EPSILON),IL-1F6,MGC129552,MGC129553
IL37	IL1F7,FIL1,FIL1(ZETA),FIL1Z,IL-1F7,IL-1H4,IL-1RP1
IL36B	IL1F8,FIL1,FILI-(ETA),IL1-ETA,IL-1F8,IL1H2,IL-1H2,MGC126880,MGC126882
QRFPR	GPR103
ILKAP	DKFZP434J2031,FLJ10181,PPM1O
SH3BGRL2	.
SH3BGRL3	.
CABYR	CBP86,CT88,FSP-2
CBX7	.
SPESP1	SP-ESP
RTP3	TMEM7,LTM1,Z3CXXC3
SETBP1	KIAA0437,SEB
RB1CC1	ATG17,Cc1,DRAGOU14,FIP200,KIAA0203,PPP1R131
MYO3B	.
EPPK1	EPIPL1
REPS1	.
TRIM8	RNF27,GERP
PDE4DIP	CMYA2,KIAA0454,KIAA0477,MMGL
TFAP2D	TFAP2BL1
MUC16	CA125,FLJ14303
LCTL	FLJ33279,KLG,KLPH
SYTL1	exophilin-7,FLJ14996,JFC1,SLP1
SYTL2	CHR11SYT,exophilin-4,FLJ20163,FLJ21219,KIAA1597,MGC102768,PPP1R151,SGA72M,SLP2
LRRC4	NAG14
SYTL3	exophilin-6,SLP3
SYTL4	.
SYTL5	.
ARHGEF15	ARGEF15,FLJ13791,KIAA0915,MGC44868,Vsm-RhoGEF
SS18L1	CREST,KIAA0693
SS18L2	KIAA-iso
DBR1	.
SLC12A8	CCC9
HPS3	BLOC2S1,SUTAL
HAMP	HEPC,HFE2B,LEAP1,LEAP-1
FBXO30	Fbx30,MGC21674
SKAP1	SCAP1,SKAP55
LAMTOR3	MAPKSP1,MAPBP,MP1,Ragulator3,MAPBP,MP1,Ragulator3
ARHGEF7	BETA-PIX,COOL1,DKFZp686C12170,DKFZp761K1021,KIAA0142,Nbla10314,P50,P50BP,P85,P85COOL1,P85SPR,PAK3,PIXB
NOLC1	KIAA0035,NOPP130,NOPP140,P130
SIGLEC10	MGC126774,PRO940,SIGLEC-10,SLG2
SLC35D3	FRCL1
SIGLEC11	.
ZNF333	KIAA1806
NBAS	NAG
FCGR2C	CD32C,hFcRII-C
B3GNT2	B3GNT1,B3GN-T1,B3GNT-2,B3GN-T2,BETA3GNT
TCERG1	TAF2S,CA150,Urn1
TLR7	.
TLR8	CD288
TLR9	CD289
TLR10	CD290
KYAT1	CCBL1,GTK,KATI
KLHL7	KLHL6,RP42,SBBI26
ACKR2	CMKBR9,CCR10,CCR9,D6,CCR10,CCR9,D6
CYP2S1	.
TAS1R3	T1R3
ZPBP	SP38,ZPBP1
UGGT1	UGCGL1,HUGT1
UGGT2	UGCGL2,FLJ10873,FLJ11485,HUGT2,MGC117360,MGC150689,MGC87276
MTPN	GCDP,MYOTROPHIN,V-1
TAGAP	ARHGAP47,FLJ32631,IDDM21
NFKBID	IkappaBNS,TA-NFKBH
ALG9	DIBD1
PHIP	WDR11,BRWD2,DCAF14,FLJ20705,ndrp
SSBP3	CSDP,FLJ10355,SSDP,SSDP1
SSBP4	.
TNKS2	PARP5B,PARP-5b,PARP5C,PARP-5c,pART6,TANK2,TNKL
SCHIP1	SCHIP-1
CTTNBP2	CORTBP2,KIAA1758,Orf4,KIAA1758,Orf4
CCIN	BTBD20,KBTBD14
SPTBN5	BSPECV,HUBSPECV,HUSPECV
PHC3	EDR3,FLJ12729,FLJ12967,HPH3
B3GNT4	B3GN-T4,beta3Gn-T4
B3GNT5	B3GN-T5,beta3Gn-T5
B4GAT1	B3GNT6,B3GN-T1,BETA3GNTI,iGAT,iGNT,iGnT,B3GN-T1,BETA3GNTI,iGAT,iGNT,iGnT
SKAP2	SCAP2,RA70,SAPS,SKAP55R,SKAP-HOM
CCK	.
UBE2Q1	UBE2Q,NICE-5,PRO3094
CCKAR	.
PPIL4	.
RHOF	ARHF,FLJ20247,RIF
PAQR8	C6orf33,LMPB1,MPRB
CCKBR	.
LDB3	CMD1C,KIAA0613,PDLIM6,ZASP
ANAPC5	APC5
LRPPRC	LSFC,GP130,LRP130
MAP1S	VCY2IP1,FLJ10669,MAP8,FLJ10669,MAP8,FLJ10669,MAP8
HEBP2	C6orf34,SOUL
GEMIN4	DKFZP434B131,DKFZP434D174,HC56,HCAP1,HHRF-1,p97
APCDD1	B7323
OBSCN	ARHGEF30,KIAA1556,KIAA1639,UNC89
STRN3	PPP2R6B,S/G2NA,SG2NA
STRN4	PPP2R6C,ZIN
CPA5	.
KRIT1	CCM1,CAM
KIRREL1	KIRREL,NEPH1
HID1	C17orf28,DMC1,HID-1
RASSF9	PAMCI,P-CIP1
CPA4	CPA3
IL36G	IL1F9,IL1E,IL-1F9,IL1H1,IL-1H1,IL-1RP2
ERMAP	RD,SC,BTN5,BTN5
TOMM34	HTOM34P,TOM34
PRND	dJ1068H6.4,DOPPEL,DPL,PrPLP
BPIFA1	PLUNC,bA49G10.5,LUNX,SPLUNC1
DSTN	ACTDP,ADF
NAPB	SNAPB,SNAP-BETA
MYL9	LC20,MLC2,MRLC1,MYRL2
SDCBP2	SITAC18,ST-2
SIRPG	SIRPB2,bA77C3.1,CD172g,SIRP-B2,SIRPgamma
ADRM1	ARM1,GP110,Rpn13
DIRC1	.
OSBPL2	DFNA67,KIAA0772,ORP-2
CRNKL1	CLF,Clf1,CRN,SYF3
POLR3F	RPC39,RPC6
TGIF2	.
MOCS3	dJ914P20.3,UBA4
ADNP	ADNP1,KIAA0784
FERMT2	PLEKHC1,KIND2,mig-2,UNC112B
OGFR	Jul-60
NT5M	dNT2,dNT-2,mdN
CCNA1	CT146
ZP4	ZPB
CPXM1	CPXM,CPX1,CPX-1
ARFGEF1	ARFGEP1,BIG1,DKFZP434L057,p200
MBD3L1	MBD3L
CCNA2	CCN1,CCNA
CHRFAM7A	CHRNA7-DR1,D-10
ARHGAP11B	FAM7B1,B'-T
ARHGAP11A	KIAA0013
ULK4	FAM7C1,FLJ20574,REC01035
LGALS12	GRIP1
METAP1	KIAA0094,MAP1A,MetAP1A
CCNB1	CCNB
PIGU	CDC91L1,bA346K17.2,GAB1
PABPC1L	C20orf119,dJ1069P2.3,ePAB,PABPC1L1
MANBAL	dJ1141E15.2
CCNB2	HsT17299
GATA5	bB379O24.1,GATAS
ANKEF1	ANKRD5,dJ839B4.6,FLJ21669
OVOL2	ZNF339,bA504H3.3,CHED,HOVO2,bA504H3.3,CHED,HOVO2
GCNA	ACRC,NAAR1
ZNF334	bA179N14.1
ZNF335	bA465L10.2,NIF-1
GZF1	ZNF336,dJ322G13.2,ZBTB23
ZNF337	dJ694B14.1
CCNC	CycC
FAM207A	C21orf70,PRED56
PCDH11Y	PCDH22,PCDHY
ACSS2	ACAS2,AceCS,ACS,ACSA,dJ1161H23.1
DHX29	DDX29
RBM38	RNPC1,dJ800J21.2,HSRNASEB,seb4B,SEB4D
ANKRD1	ALRP,C-193,CARP,CVARP,MCARP
CCND1	D11S287E,PRAD1,U21B31,U21B31,U21B31
OXR1	TLDC3
HIF3A	bHLHe17,IPAS,MOP7,PASD7
SLC13A4	SUT1,SUT-1
RASD1	AGS1,DEXRAS1
ELOVL6	FLJ23378,LCE,MGC5487
CCND2	.
OSR2	FLJ90037
SSBP2	HSPC116
